所属模块,用例标题,步骤,预期,关键词,用例类型,优先级,用例状态,适用阶段,前置条件,,类型可选值列表,阶段可选值列表,状态可选值列表
,验证密码为空，注册失败,"1.手机号输入15129569470，验证码8888，设置密码为空，确认密码为空，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示请输入用户名或密码，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证密码小于6位，注册失败,"1.手机号输入15129569470，验证码8888，设置密码为12345，确认密码12345，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示密码为6-16位大小写应为字母、数字或符号组合，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证密码大于16位，注册失败,"1.手机号输入15129569470，验证码8888，设置密码为11111111111111112，确认密码11111111111111112，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示密码为6-16位大小写应为字母、数字或符号组合，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证密码只有大写，注册失败,"1.手机号输入15129569470，验证码8888，设置密码为AAAAAA，确认密码AAAAAA，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示密码为6-16位大小写应为字母、数字或符号组合，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证密码只有小写，注册失败,"1.手机号输入15129569470，验证码8888，设置密码为aaaaaa，确认密码aaaaaa，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示密码为6-16位大小写应为字母、数字或符号组合，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证密码只有数字大写，注册失败,"1.手机号输入15129569470，验证码8888，设置密码为12345A，确认密码12345A，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示密码为6-16位大小写应为字母、数字或符号组合，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,"验证密码只有数字小写,注册失败","1.手机号输入15129569470，验证码8888，设置密码为12345a，确认密码12345a，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示密码为6-16位大小写应为字母、数字或符号组合，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,"验证密码只有数字符号,注册失败","1.手机号输入15129569470，验证码8888，设置密码为12345？，确认密码12345？，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示密码为6-16位大小写应为字母、数字或符号组合，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,"验证密码只有大写小写,注册失败","1.手机号输入15129569470，验证码8888，设置密码为ASDasd，确认密码ASDasd，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示密码为6-16位大小写应为字母、数字或符号组合，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,"验证密码只有大写符号,注册失败","1.手机号输入15129569470，验证码8888，设置密码为ASD???，确认密码ASD???，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示密码为6-16位大小写应为字母、数字或符号组合，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,"验证密码只有小写符号,注册失败","1.手机号输入15129569470，验证码8888，设置密码为asd???，确认密码asd???，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示密码为6-16位大小写应为字母、数字或符号组合，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证密码只有数字大小写字母，注册失败,"1.手机号输入15129569470，验证码8888，设置密码为123ASDasd，确认密码与设置密码一致正确，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示密码为6-16位大小写应为字母、数字或符号组合，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证密码只有数字大写字母和符号，注册失败,"1.手机号输入15129569470，验证码8888，设置密码为123ASD?，确认密码123ASD?，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示密码为6-16位大小写应为字母、数字或符号组合，刷新验证码图片",,功能测试,,,系统测试阶段,页面在注册页面,,,,
,验证密码只有数字小写字母和符号，注册失败,"1.手机号输入15129569470，验证码8888，设置密码为123asd?，确认密码123asd?，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示密码为6-16位大小写应为字母、数字或符号组合，刷新验证码图片",,功能测试,,,系统测试阶段,页面在注册页面,,,,
,验证密码只有大小写字母和符号，注册失败,"1.手机号输入15129569470，验证码8888，设置密码为asd???，确认密码asd???，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示密码为6-16位大小写应为字母、数字或符号组合，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证确认密码两次密码输入不一致，注册失败,"1.手机号输入15129569470，验证码8888，设置密码Abc123?，确认密码Abc123?!!!，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示两次输入密码不一致，刷新验证码",,功能测试,,,系统测试阶段,,,,,
,验证勾选我已阅读并同意，注册成功,"1.手机号输入15129569470，验证码8888，设置密码Abc123?，确认密码Abc123?，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册成功提示注册成功，跳转至首页",,功能测试,1,,系统测试阶段,,,,,
,验证不勾选我已阅读并同意，注册失败,"1.手机号输入15129569470，验证码8888，设置密码Abc123?，确认密码Abc123?
2.点击同意协议并注册","1.正常输入
2.注册失败",,功能测试,1,,系统测试阶段,,,,,
,验证邮箱验证码设置密码确认密码都正确，勾选点击同意协议并注册，注册成功,"1.邮箱输入291910489@qq.com，验证码8888，设置密码Abc123?，确认密码Abc123?，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册成功，提示注册成功，跳转至首页",,功能测试,,,系统测试阶段,,,,,
,验证邮箱验证码设置密码确认密码推荐人手机号都正确，勾选点击同意协议并注册，注册成功,"1.邮箱输入291910489@qq.com，验证码8888，设置密码Abc123?，确认密码Abc123?，推荐人手机号15129569740，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册成功，提示注册成功，跳转至首页",,功能测试,,,系统测试阶段,,,,,
,验证邮箱格式以下划线开头，注册失败,"1.邮箱输入_291910489@qq.com，验证码8888，设置密码Abc123?，确认密码Abc123?，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示请用手机号或邮箱注册，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证不输入邮箱，注册失败,"1.邮箱为空，验证码8888，设置密码Abc123?，确认密码Abc123?，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示请用手机号或邮箱注册，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证输入符合条件但已存在的邮箱，注册失败,"1.邮箱输入291910489@qq.com，验证码8888，设置密码Abc123?，确认密码Abc123?，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示账号已存在，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证邮箱长度小于4，注册失败,"1.邮箱输入123@qq.com，验证码8888，设置密码Abc123?，确认密码Abc123?，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示请用手机号或邮箱注册，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证邮箱长度大于16，注册失败,"1.邮箱输入11111111111111112@qq.com，验证码8888，设置密码Abc123?，确认密码Abc123?，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示请用手机号或邮箱注册，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,验证邮箱格式不正确，注册失败,"1.邮箱输入291910489qq.com，验证码8888，设置密码Abc123?，确认密码Abc123?，勾选了我已阅读并同意
2.点击同意协议并注册","1.正常输入
2.注册失败，提示请用手机号或邮箱注册，刷新验证码图片",,功能测试,,,系统测试阶段,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
登录,验证进入商城首页，网站头部显示登录注册两个链接并且点击可以跳转,"1.输入网址192.168.124.3:80
2.点击登录按钮","1.进入商城首页
2.跳转到登录页面",,功能测试,3,,系统测试阶段,商城首页为游客状态,,,,
,验证账户名格式正确是注册成功的用户账号，密码正确是注册成功账号对应密码，验证码正确，登录成功,"1.输入15129569740，密码123456，验证码8888
2.点击登录按钮","1.正常输入
2.登录成功后跳转至我的商城页",,功能测试,,,系统测试阶段,,,,,
,验证账户名格式正确是注册成功的用户账号，密码正确是注册成功账号对应密码，验证码正确，登录成功,"1.输入291910489@qq.com，密码123456，验证码8888
2.点击登录按钮","1.正常输入
2.登录成功后跳转至我的商城页",,功能测试,,,系统测试阶段,,,,,
,验证输入的账号格式不正确，登录失败,"1.输入账户123，密码123456，验证码8888
2.点击登录","1.正常登录
2.登录失败，提示账号格式不匹配，更新验证码",,功能测试,,,系统测试阶段,,,,,
,验证输入的格式正确，但未注册是账号，登录失败,"1.输入账户123，密码123456，验证码888
2.点击登录","1.正常登录
2.登录失败，提示账号不存在！，更新验证码",,功能测试,,,系统测试阶段,,,,,
,验证登录账号为空，登录失败,"1.账户为空，密码123456，验证码8888
2.点击登录","1.正常登录
2.登录失败，提示用户名不能为空！，更新验证码",,功能测试,,,系统测试阶段,,,,,
,验证密码为空，登录失败,"1.输入账户123456，密码为空，验证码8888
2.点击登录","1.正常登录
2.登录失败，提示密码不能为空！，更新验证码",,功能测试,,,系统测试阶段,,,,,
,验证账号输入正确，输入密码错误，登录失败,"1.输入账户123456，密码000000，验证码8888
2.点击登录","1.正常登录
2.登录失败，提示密码错误，更新验证码",,功能测试,,,系统测试阶段,,,,,
,验证在登录页面，点击安全退出按钮，可以退出登录状态,1.点击安全退出按钮,1.退出了登录状态,,功能测试,,,系统测试阶段,,,,,
,,,,,,,,,,,,,
商品分类,验证首页上，默认显示6个一级分类,1.打开首页,1.显示6个一级分类,,,,,,,,,,
,验证鼠标移入一级分类后，背景颜色改变,1.鼠标移入一级分类,1.背景颜色改变,,,,,,,,,,
,验证鼠标移入一级分类后，显示该分类下所有的二级和三级分类,1.鼠标移入一级分类,1.显示该分类下所有的二级和三级分类,,,,,,,,,,
,验证鼠标移入一级分类和三级分类，字体变红,1.鼠标移入一级分类,1.字体变红,,,,,,,,,,
,验证点击分类后跳转到对应的分类的商品筛选界面,1.点击了分类,1.跳转到商品筛选界面,,,,,,,,,,
,验证商品分类是根据后台商品分类表中`level` 字段进行分类，并按后台设置排序,"1.在首页看商品分类的项目和顺序
2.进入后台http://192.168.124.3/Admin/Admin/login账号admin密码123456
3.在商品分类中，看已经展示的商品分类和顺序","1.看到了商品分类和顺序
2.可以登录后台
3.商品分类中展示的商品分类项目和顺序与商城首页的一致",,,,,,,,,,
,,,,,,,,,,,,,
Banner,验证banner图片有1张时，图片不轮播,1.首页Banner只有一张图片,1.不轮播,,,,,,,,,,
,验证banner图片有2-5张时，图片自动轮播，三秒切换一张,1.首页Banner有2-5张图片,1.自动轮播,,,,,,,,,,
,验证鼠标悬停在图片上，停止轮播,1.鼠标悬停在图片上,1.停止轮播,,,,,,,,,,
,验证实心为当前图片，点击可以跳转,1.轮播图片实心是当前图片，并点击图片,1.图片可以跳转,,,,,,,,,,
,验证点击左右切换按钮，每次切换一张图,1. 点击左右切换按钮,1.切换一张图片,,,,,,,,,,
